#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
porpezite                                         (pewter:molten_porpezite)                                                        = Molten îÙ½ğ
lithium                                           (pewter:molten_lithium)                                                          = Molten ï®
sodium                                            (pewter:molten_sodium)                                                           = Molten ÄÆ
potassium                                         (pewter:molten_potassium)                                                        = Molten ¼Ø
rubidium                                          (pewter:molten_rubidium)                                                         = Molten ï¨
caesium                                           (pewter:molten_caesium)                                                          = Molten ï¤
francium                                          (pewter:molten_francium)                                                         = Molten îÕ
mercury                                           (pewter:molten_mercury)                                                          = Molten ¹¯
botanical                                         (pewter:molten_botanical)                                                        = Molten Ö²Îï»ê
rosium                                            (pewter:molten_rosium)                                                           = Molten ÑªÃµ¹å
chrysanthemium                                    (pewter:molten_chrysanthemium)                                                   = Molten ½ğ³û¾Õ
dandelionium                                      (pewter:molten_dandelionium)                                                     = Molten ÆÑ¹«Ó¢
myosotisium                                       (pewter:molten_myosotisium)                                                      = Molten ÎğÍüÎÒ
begonium                                          (pewter:molten_begonium)                                                         = Molten Çïº£ÌÄ
carnationium                                      (pewter:molten_carnationium)                                                     = Molten ¿µÄËÜ°
botanical_awakened                                (pewter:molten_botanical_awakened)                                               = Molten ¾õĞÑÖ²Îï»ê
enderiron                                         (pewter:molten_enderiron)                                                        = Molten Ä©Ó°¶Æ²ãÌú
enderironex                                       (pewter:molten_enderironex)                                                      = Molten ÔöÇ¿Ä©Ó°
blackiron                                         (pewter:molten_blackiron)                                                        = Molten ºÚÌú
crystaltine                                       (pewter:molten_crystaltine)                                                      = Molten ¾§ËØ
corruptium                                        (pewter:molten_corruptium)                                                       = Molten ¸¯»¯½ğÊô
eldritch_steel                                    (pewter:molten_eldritch_steel)                                                   = Molten Ğ°Êõ¸Ö
impetusite                                        (pewter:molten_impetusite)                                                       = Molten Ôª¶¯½ğÊô
cursium                                           (pewter:molten_cursium)                                                          = Molten Öä¸¿
wigthium                                          (pewter:molten_wigthium)                                                         = Molten Òõ»ê
darkest                                           (pewter:molten_darkest)                                                          = Molten ÖÁ°µ
ghost_metal                                       (pewter:molten_ghost_metal)                                                      = Molten ¶ñÁé
murderite                                         (pewter:molten_murderite)                                                        = Molten ÑªÔ¨
nasalum                                           (pewter:molten_nasalum)                                                          = Molten ĞÇ¿Õ
lunarine                                          (pewter:molten_lunarine)                                                         = Molten ÔÂ»ª
zodiacite                                         (pewter:molten_zodiacite)                                                        = Molten ĞÇÁé
finallium                                         (pewter:molten_finallium)                                                        = Molten ÖÕÑÉ
glowing_signalum                                  (pewter:molten_glowing_signalum)                                                 = Molten Ó«¹âĞÅËØ
densite                                           (pewter:molten_densite)                                                          = Molten ÃÜ¶ÈºÏ½ğ
reditrite                                         (pewter:molten_reditrite)                                                        = Molten ºì°ßÔÉÌú
balancite                                         (pewter:molten_balancite)                                                        = Molten ÊØºãºÏ½ğ
iciricium                                         (pewter:molten_iciricium)                                                        = Molten ±ùÎÆ½ğ
eden                                              (pewter:molten_eden)                                                             = Molten ÒÁµé
wildwood                                          (pewter:molten_wildwood)                                                         = Molten Ô­Ê¼
apalachia                                         (pewter:molten_apalachia)                                                        = Molten °¢ÅÁÀ­ÆõÑÇ
skythern                                          (pewter:molten_skythern)                                                         = Molten ±ù´Ì
mortum                                            (pewter:molten_mortum)                                                           = Molten ºÚ½ğ
twilight_crystal                                  (pewter:molten_twilight_crystal)                                                 = Molten Äº¹â½á¾§
shadium                                           (pewter:molten_shadium)                                                          = Molten ÒõËî
lunium                                            (pewter:molten_lunium)                                                           = Molten ä—
daynight                                          (pewter:molten_daynight)                                                         = Molten ÖçÒ¹ºÏ½ğ
dullium                                           (pewter:molten_dullium)                                                          = Molten ³Á÷ö
chillinium                                        (pewter:molten_chillinium)                                                       = Molten º®ĞÄÌú
hellite                                           (pewter:molten_hellite)                                                          = Molten Á¶Óü½ğÊô
arlemite                                          (pewter:molten_arlemite)                                                         = Molten °¢ÀÕÃ×ÌØ
hellstone                                         (pewter:molten_hellstone)                                                        = Molten ×ï¶ñ
lava_solid                                        (pewter:molten_lava_solid)                                                       = Molten ¹ÌÌ¬ÈÛÑÒ
realmite                                          (pewter:molten_realmite)                                                         = Molten ÅµÃ×ÌØ
rupee                                             (pewter:molten_rupee)                                                            = Molten Â¬±È
shadow_bar                                        (pewter:molten_shadow_bar)                                                       = Molten ÒõÓ°
star_alloy                                        (pewter:molten_star_alloy)                                                       = Molten ĞÇÁ´ºÏ½ğ
gravitite                                         (tinkersaether:molten_gravitite)                                                 = ÈÛÈÚÖØÁ¦¾§
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = ÈÛÈÚÅ®ÎäÉñ½ğÊô
royal_alloy                                       (tiths:molten_royal_alloy)                                                       = ÈÛÈÚÉİ»ªºÏ½ğ
cocoa                                             (tiths:molten_cocoa)                                                             = ÈÛÈÚ¿É¿É
immersed_silver                                   (tiths:molten_immersed_silver)                                                   = ÈÛÈÚ³ÁÒø
decurrium                                         (tiths:molten_decurrium)                                                         = ÈÛÈÚÉîÁ÷¸Ö
tanatonium                                        (tiths:molten_tanatonium)                                                        = ÈÛÈÚËşÀ­ÌØÄİÄ·
solita                                            (tiths:molten_solita)                                                            = ÈÛÈÚ¼á½ğ
magiga                                            (tiths:molten_magiga)                                                            = ÈÛÈÚÙ¤¸Ö
inert_witherium                                   (tiths:molten_inert_witherium)                                                   = ÈÛÈÚ¶èĞÔµòÁé
witherium                                         (tiths:molten_witherium)                                                         = ÈÛÈÚµòÁé
stellarium                                        (tiths:molten_stellarium)                                                        = ÈÛÈÚºãĞÇ½ğÊô
hothium                                           (tiths:molten_hothium)                                                           = ÈÛÈÚ»ôË¹
polarium                                          (tiths:molten_polarium)                                                          = ÈÛÈÚ¹´³Â
halleium                                          (tiths:molten_halleium)                                                          = ÈÛÈÚ¹şÀ×
altairium                                         (tiths:molten_altairium)                                                         = ÈÛÈÚºÓ¹Ä
tonium                                            (tiths:molten_tonium)                                                            = ÈÛÈÚ¶Û½ğ
oraclium                                          (tiths:molten_oraclium)                                                          = ÈÛÈÚÉñÚÍ¸Ö
steamium                                          (tiths:molten_steamium)                                                          = ÈÛÈÚÆø¸Ö
mirion                                            (plustic:plustic.molten_mirion)                                                  = ÈÛÈÚÔÌÄ§½á¾§
tamoltencerulean                                  (theaurorian:tamoltencerulean)                                                   = ÈÛÈÚ¾§À¶
tamoltenmoonstone                                 (theaurorian:tamoltenmoonstone)                                                  = ÈÛÈÚğ¨ÔÂÊ¯
tamoltenauroriansteel                             (theaurorian:tamoltenauroriansteel)                                              = ÈÛÈÚ¼«¹â¸Ö
emerald                                           (tconstruct:molten_emerald)                                                      = ÈÛÈÚÂÌ±¦Ê¯
